,Unnamed: 0,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
0,0,0,Assam,1949,1,29.4,12.3,0.0,68.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1949.01,
1,1,1,Assam,1949,2,33.9,15.2,9.0,63.0,0.659259259,0.9,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1949.02,
2,2,2,Assam,1949,3,36.7,20.2,8.0,59.0,1.085185185,1.5,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1949.03,
3,3,3,Assam,1949,4,33.9,23.9,140.0,71.0,1.772222222,3.9,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1949.04,
4,4,4,Assam,1949,5,35.6,25.0,217.0,76.0,1.703703704,4.1,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1949.05,
5,5,5,Assam,1949,6,34.4,25.7,512.0,80.0,1.631481481,5.6,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1949.06,1.0
6,6,6,Assam,1949,7,33.4,25.8,575.0,85.0,1.57037037,5.4,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1949.07,1.0
7,7,7,Assam,1949,8,33.5,25.7,349.0,86.0,1.32962963,5.6,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1949.08,1.0
8,8,8,Assam,1949,9,34.8,25.7,252.0,83.0,0.937037037,4.8,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1949.09,
9,9,9,Assam,1949,10,34.0,24.7,128.0,78.0,0.490740741,3.1,7.0,41950,536809.8,510151.9,22.7,90.36,4,1949.1,
10,10,10,Assam,1949,11,31.5,17.4,41.0,68.0,0.312962963,0.9,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1949.11,
11,11,11,Assam,1949,12,29.7,12.5,0.0,66.0,0.337037037,0.3,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1949.12,
12,12,12,Assam,1950,1,30.0,14.1,0.0,77.0,0.453703704,0.8,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1950.01,
13,13,13,Assam,1950,2,31.7,16.6,90.0,76.0,0.659259259,1.7,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1950.02,
14,14,14,Assam,1950,3,36.1,20.5,13.0,70.0,1.085185185,2.9,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1950.03,
15,15,15,Assam,1950,4,37.2,24.2,66.0,75.0,1.772222222,3.3,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1950.04,
16,16,16,Assam,1950,5,36.1,25.5,87.0,78.0,1.703703704,4.8,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1950.05,1.0
17,17,17,Assam,1950,6,33.9,26.0,476.0,87.0,1.631481481,7.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1950.06,1.0
18,18,18,Assam,1950,7,32.2,25.9,546.0,89.0,1.57037037,6.8,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1950.07,1.0
19,19,19,Assam,1950,8,32.8,25.6,337.0,90.0,1.32962963,7.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1950.08,1.0
20,20,20,Assam,1950,9,33.9,26.4,187.0,84.0,0.937037037,6.5,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1950.09,
21,21,21,Assam,1950,10,33.3,24.5,339.0,85.0,0.490740741,5.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1950.1,1.0
22,22,22,Assam,1950,11,32.9,18.6,98.0,73.0,0.312962963,2.9,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1950.11,
23,23,23,Assam,1950,12,30.1,14.0,0.0,68.0,0.337037037,1.5,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1950.12,
24,24,24,Assam,1951,1,28.2,12.3,0.0,77.0,0.453703704,0.6,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1951.01,
25,25,25,Assam,1951,2,32.3,16.0,0.0,76.0,0.659259259,0.6,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1951.02,
26,26,26,Assam,1951,3,35.6,21.5,67.0,70.0,1.085185185,4.0,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1951.03,
27,27,27,Assam,1951,4,36.7,24.3,137.0,75.0,1.772222222,4.6,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1951.04,
28,28,28,Assam,1951,5,35.2,25.6,114.0,78.0,1.703703704,3.9,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1951.05,
29,29,29,Assam,1951,6,33.9,26.2,394.0,87.0,1.631481481,6.7,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1951.06,1.0
30,30,30,Assam,1951,7,35.0,26.0,375.0,89.0,1.57037037,7.2,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1951.07,1.0
31,31,31,Assam,1951,8,33.3,26.4,194.0,90.0,1.32962963,7.3,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1951.08,
32,32,32,Assam,1951,9,34.4,25.5,286.0,84.0,0.937037037,5.5,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1951.09,
33,33,33,Assam,1951,10,33.3,25.1,301.0,85.0,0.490740741,4.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1951.1,1.0
34,34,34,Assam,1951,11,31.1,20.0,31.0,73.0,0.312962963,2.5,7.85106383,41950,536809.8,510151.9,22.7,90.36,4,1951.11,
35,35,35,Assam,1951,12,31.7,15.7,0.0,68.0,0.337037037,2.1,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1951.12,
36,36,36,Assam,1952,1,26.6,12.3,2.0,77.0,0.453703704,1.0,7.831914894,41950,536809.8,510151.9,22.7,90.36,4,1952.01,
37,37,37,Assam,1952,2,30.6,15.2,8.0,75.0,0.659259259,1.5,8.314893617,41950,536809.8,510151.9,22.7,90.36,4,1952.02,
38,38,38,Assam,1952,3,33.3,20.2,33.0,73.0,1.085185185,2.4,8.131914894,41950,536809.8,510151.9,22.7,90.36,4,1952.03,
39,39,39,Assam,1952,4,34.0,23.9,85.0,78.0,1.772222222,3.7,8.219148936,41950,536809.8,510151.9,22.7,90.36,4,1952.04,
40,40,40,Assam,1952,5,33.6,25.0,196.0,81.0,1.703703704,4.7,7.046808511,41950,536809.8,510151.9,22.7,90.36,4,1952.05,
41,41,41,Assam,1952,6,32.9,25.7,406.0,87.0,1.631481481,6.2,4.072340426,41950,536809.8,510151.9,22.7,90.36,4,1952.06,1.0
42,42,42,Assam,1952,7,31.2,25.6,414.0,88.0,1.57037037,6.5,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1952.07,1.0
43,43,43,Assam,1952,8,31.4,25.7,349.0,88.0,1.32962963,6.4,4.272340426,41950,536809.8,510151.9,22.7,90.36,4,1952.08,1.0
44,44,44,Assam,1952,9,32.5,25.5,275.0,87.0,0.937037037,5.6,4.823404255,41950,536809.8,510151.9,22.7,90.36,4,1952.09,
